"Back To Review Detail","Back To Review Detail"
"Delete Gallery","Delete Gallery"
"Are you sure you want to do this gallery?","Are you sure you want to do this gallery?"
"Save Gallery","Save Gallery"
"Add/Edit Gallery","Add/Edit Gallery"
" abuse reports submitted."," abuse reports submitted."
" people found this helpful."," people found this helpful."
"There are %1 of %2 people found this helpful.","There are %1 of %2 people found this helpful."
" people found this unhelpful."," people found this unhelpful."
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
"The gallery has been deleted.","The gallery has been deleted."
"Edit Gallery","Edit Gallery"
"Review Gallery","Review Gallery"
"This gallery no longer exists.","This gallery no longer exists."
"New Gallery","New Gallery"
Galleries,Galleries
"You saved the gallery.","You saved the gallery."
"Reviews Reminders List","Reviews Reminders List"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"A total of %1 email(s) have been sent to customer(s).","A total of %1 email(s) have been sent to customer(s)."
"Some emails were not sent.","Some emails were not sent."
"Not found any record to send.","Not found any record to send."
"Something went wrong while making the review.","Something went wrong while making the review."
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Gallery of Review ","Gallery of Review "
"Please check the image(s) uploading.","Please check the image(s) uploading."
Enabled,Enabled
Disabled,Disabled
"Owl Carousel","Owl Carousel"
"Disabled Carousel - use listing","Disabled Carousel - use listing"
Default,Default
Helpful,Helpful
"Average Rating Percent","Average Rating Percent"
"Gallery with id ""%1"" does not exist.","Gallery with id ""%1"" does not exist."
"Please Check Sender Email","Please Check Sender Email"
Pending,Pending
"On Hold","On Hold"
Sent,Sent
"Getting order data error.","Getting order data error."
"Could not update customer info to review reminder.","Could not update customer info to review reminder."
"Hgati Custom Review","Hgati Custom Review"
"What I like about this product","What I like about this product"
"What I don't like about this product","What I don't like about this product"
"Review Images","Review Images"
"Review Notes","Review Notes"
"Review Comment","Review Comment"
Title,Title
Comment,Comment
"Send to customer","Send to customer"
"reviews gallery","reviews gallery"
View,View
Edit,Edit
Delete,Delete
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Alt Text","Alt Text"
Role,Role
Base,Base
"Image Size","Image Size"
{size},{size}
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"You need to enter info before adding a new review.","You need to enter info before adding a new review."
"* Required Fields","* Required Fields"
"Order Id","Order Id"
"Enter your order id without zero number","Enter your order id without zero number"
"Order Email","Order Email"
"Your order email ","Your order email "
"Please select your order...","Please select your order..."
"You need to make an order.","You need to make an order."
Submit,Submit
"Write Your Own Review","Write Your Own Review"
