"Back To Review Detail","Back To Review Detail"
"Delete Gallery","Delete Gallery"
"Are you sure you want to do this gallery?","Are you sure you want to do this gallery?"
"Save Gallery","Save Gallery"
"Add/Edit Gallery","Add/Edit Gallery"
" abuse reports submitted."," abuse reports submitted."
" people found this helpful."," người thấy hữu ích."
" people found this unhelpful."," người không thấy hữu ích."
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
"The gallery has been deleted.","The gallery has been deleted."
"Edit Gallery","Edit Gallery"
"Review Gallery","Review Gallery"
"This gallery no longer exists.","This gallery no longer exists."
"New Gallery","New Gallery"
Galleries,Galleries
"You saved the gallery.","You saved the gallery."
"Reviews Reminders List","Reviews Reminders List"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"A total of %1 email(s) have been sent to customer(s).","A total of %1 email(s) have been sent to customer(s)."
"Some emails were not sent.","Some emails were not sent."
"Not found any record to send.","Not found any record to send."
"Something went wrong while making the review.","Something went wrong while making the review."
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Gallery of Review ","Gallery of Review "
"Please check the image(s) uploading.","Please check the image(s) uploading."
Enabled,Enabled
Disabled,Disabled
"Owl Carousel","Owl Carousel"
"Disabled Carousel - use listing","Disabled Carousel - use listing"
Default,Mặc định
Helpful,Hữu ích
"Average Rating Percent","Đánh giá"
"Gallery with id ""%1"" does not exist.","Gallery with id ""%1"" does not exist."
"Please Check Sender Email","Vui lòng kiểm tra lại sender email"
Pending,Pending
"On Hold","On Hold"
Sent,Sent
"Getting order data error.","Getting order data error."
"Could not update customer info to review reminder.","Could not update customer info to review reminder."
"Lof Custom Review","Lof Custom Review"
"What I like about this product","Điều tôi yêu thích nhất ở sản phẩm"
"What I don't like about this product","Điều tôi chưa hài lòng ở sản phẩm"
"Review Images","Review Images"
"Review Notes","Review Notes"
"Review Comment","Review Comment"
Title,Title
Comment,Comment
"Send to customer","Send to customer"
"reviews gallery","reviews gallery"
View,View
Edit,Edit
Delete,Delete
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Alt Text","Alt Text"
Role,Role
Base,Base
"Image Size","Image Size"
{size},{size}
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"You need to enter info before adding a new review.","Bạn cần nhập thông tin sau trước khi nhận xét."
"* Required Fields","* Required Fields"
"Order Id","Mã hóa đơn (ví dụ: OW100001)"
"Enter your order id without zero number","Nhập mã đơn hàng của bạn đã mua sản phẩm."
"Order Email","Địa chỉ email mua hàng"
"Your order email ","Địa chỉ email của bạn "
